county_code,county,district_code,district_name,district_type,district_type_label,total_enrollment,number_of_schools,urbanicity,urbanicity_score,has_ai_policy,ai_policy_flag,has_se_policy,policy_link,policy_number,policy_adopted,policy_revision_dates,students_of_color_percent,frpl_percent,multilingual_percent
01,Atlantic,0010,Absecon Public Schools District,E,Elementary,897,2,"Suburb, Large",3.0,False,False,False,,,,,0.556,0.5599999999999999,0.106
19,Hunterdon,0020,Alexandria Township School District,E,Elementary,417,1,"Rural, Distant",1.0,False,False,True,,,,,0.15599999999999992,0.101,0.019
41,Warren,0030,Allamuchy Township School District,E,Elementary,394,2,"Rural, Fringe",1.0,True,True,True,https://www.straussesmay.com/seportal/public/DistrictPolicy.aspx?policyid=2365&id=b656191cd0a544338a4f80a6573b5812,2365,2025-02-24,,0.33799999999999997,0.17800000000000002,0.023
03,Bergen,0040,Allendale Public School District,E,Elementary,829,2,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=2365&id=96966492b9c440708342fab45bea3a45,2365,2024-08-28,"2025-10-15, 2025-11-12",0.30599999999999994,0.013000000000000001,0.016
33,Salem,0060,Alloway Twp School District,E,Elementary,272,1,"Rural, Distant",1.0,True,False,False,https://www.allowayschool.org/atsd/Board/District%20Policy/6000%20-%20Instruction/6142.11-Artificial%20Intelligence%20edited,6142,2025-04-01,,0.1359999999999999,0.18,0.0
41,Warren,0070,Alpha Borough School District,E,Elementary,197,1,"Suburb, Large",3.0,False,False,True,,,,,0.31999999999999995,0.467,1.0
03,Bergen,0080,Alpine School District,E,Elementary,152,1,"Suburb, Large",3.0,False,False,True,,,,,0.44100000000000006,0,0.013000000000000001
37,Sussex,0090,Andover Regional School District,E,Elementary,489,2,"Town, Fringe",2.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=f3a2ec92bfe348c7af292a3c29aebf6d,5701,2015-09-15,2025-02-19,0.30299999999999994,0.246,0.051
21,Mercer,3105,Area Vocational Technical School District Of Mercer County,U,Unified,842,5,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=2365&id=7c27aac7e4f446e3a94550cf7cfe2024,2365,2025-02-18,,0.796,0.505,0.03
25,Monmouth,0100,Asbury Park School District,U,Unified,1316,4,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=446eedcd0fa94e6198d7707eb31fd43d,5701,2010-12-22,2025-03-26,0.964,0.7100000000000001,0.20600000000000002
01,Atlantic,0110,Atlantic City School District,U,Unified,6084,11,"City, Small",4.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=7401ed068aea4a13b65b4618540e9852,5701,2002-05-01,2025-04-01,0.976,0.8390000000000001,0.21899999999999997
01,Atlantic,0125,Atlantic County Special Services School District,U,Unified,339,2,"Suburb, Large",3.0,False,False,True,,,,,0.729,0.413,0.9
01,Atlantic,0120,Atlantic County Vocational School District,S,Secondary,1953,1,"Suburb, Large",3.0,True,False,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=2365&id=6878e4358c994bd992b65f3c5cfa445a,2365,2024-09-24,2025-04-30,0.726,0.601,0.4
07,Camden,0150,Audubon Public School District,U,Unified,1391,4,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=4c30d90ce4724b5d9d9b1376493bf4d5,5701,2015-11-18,2025-10-15,0.17299999999999993,0.23900000000000002,0.011000000000000001
09,Cape May,0170,Avalon School District,E,Elementary,92,1,"Suburb, Large",3.0,False,False,False,,,,,0.07599999999999996,0,0.0
25,Monmouth,0180,Avon Boro School District,E,Elementary,112,1,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/public/DistrictPolicy.aspx?policyid=2365&id=94d5781d90e14a75a50af665b7895cec,2365,2025-02-01,,0.10699999999999998,0.161,0.027000000000000003
29,Ocean,0185,Barnegat Township School District,U,Unified,3636,6,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/public/DistrictPolicy.aspx?policyid=2365&id=9ceb297c28bf45c9a63d060e20d78e07,2365,2024-08-27,,0.391,0.468,0.026000000000000002
07,Camden,0190,Barrington School District,E,Elementary,537,2,"Suburb, Large",3.0,True,True,True,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5710&id=ba9fed582f6e4dd193efb6a7a49b4cbb,5701,2008-05-12,2025-05-05,0.30400000000000005,0.351,0.032
