district_id,district_name,county,minority_enrollment_raw,below_poverty_raw,district_size_class,nces_district_population,snap_raw,district_website,relevant_ai_policy_documents,outside_search_documents,risk_surveillance_index,opportunity_innovation_index,restriction_index,guidance_index,primary_ai_policy_frame,classification_confidence,index_evidence,worksheet_row,minority_enrollment,below_poverty,snap_share,log_population,policy_retrieval_status,policy_retrieval_notes,policy_source_url,policy_document_title,policy_pdf_filename,has_ai_policy,policy_similarity_cluster_id,policy_similarity_cluster_size,has_policy_classification,risk_surveillance_index_num,opportunity_innovation_index_num,restriction_index_num,guidance_index_num,minority_enrollment_z,below_poverty_z,snap_share_z,log_population_z
10,Absecon Public Schools District,Atlantic,0.31,0.053,small,921.0,0.215,,,,,,,,,,,2,0.31,0.053,0.215,6.826545223556594,no_ai_policy_found,No AI-specific policy link was provided in the spreadsheet,,,,0,,,0,,,,,-0.18098896979074094,-0.3594876728914054,0.8625962299141936,-0.03314945940858869
110,Atlantic City Public Schools,Atlantic,0.84,47.2%%,medium,6585.0,0.356,District Website,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=7401ed068aea4a13b65b4618540e9852,,match,no_match,match,match,Risk/Surveillance,high,"risk=4, opp=0, rest=3, guid=1, words=523, method=lexical+source_boost",3,0.84,0.47200000000000003,0.356,8.792701462936309,success,Policy portal page contained AI-relevant text; saved webpage content as PDF,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=7401ed068aea4a13b65b4618540e9852,5701 - ACADEMIC INTEGRITY,Atlantic_City_Public_Schools_AI_Policy.pdf,1,13.0,93.0,1,,,,,2.1675748616178048,3.9602722013707004,1.991464734366505,1.1348667227013598
120,Atlantic County Vocational School District,Atlantic,,,small,1846.0,,http://www.acitech.org,,,,,,,,,,4,,,,7.52131798019924,no_ai_policy_found,No AI-specific policy link was provided in the spreadsheet,,,,0,,,0,,,,,,,,0.37958774142737445
570,Brigantine Public Schools,Atlantic,0.18,0.113,small,381.0,0.261,,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=f826311f955c4bf881cb6673554f5c40,,match,no_match,match,match,Risk/Surveillance,high,"risk=4, opp=0, rest=3, guid=1, words=526, method=lexical+source_boost",5,0.18,0.113,0.261,5.945420608606575,success,Policy portal page contained AI-relevant text; saved webpage content as PDF,https://www.straussesmay.com/seportal/Public/DistrictPolicy.aspx?policyid=5701&id=f826311f955c4bf881cb6673554f5c40,5701 - ACADEMIC INTEGRITY,Brigantine_Public_Schools_AI_Policy.pdf,1,13.0,93.0,1,,,,,-0.7570517963626484,0.2590936933513783,1.230879571792253,-0.5565909785025658
590,Buena Regional School District,Atlantic,0.35,0.055,small,1620.0,0.094,buenaschools.org,,,,,,,,,,6,0.35,0.055,0.094,7.390798521735676,no_ai_policy_found,No AI-specific policy link was provided in the spreadsheet,,,,0,,,0,,,,,-0.00373886930707718,-0.33886829401664587,-0.10614908241722269,0.30205125856181936
960,Corbin City School Distrcit,Atlantic,0.04,*,unknown,,*,https://sites.google.com/view/corbincitynj/municipal-services/school-board,,non-operating school district,,,,,,,,7,0.04,,,,no_ai_policy_found,No AI-specific policy link was provided in the spreadsheet,,,,0,,,0,,,,,-1.377427148055472,,,
1300,Egg Harbor City School District,Atlantic,0.56,0.236,small,561.0,0.548,https://www.ehcs.k12.nj.us/,,,,,,,,,,8,0.56,0.236,0.548,6.331501849893691,no_ai_policy_found,No AI-specific policy link was provided in the spreadsheet,,,,0,,,0,,,,,0.9268241582321584,1.5271854941490843,3.5286473787271,-0.3272352801096891
1310,Egg Harbor Township School District,Atlantic,0.11,0.071,medium,7463.0,0.144,,https://www.eht.k12.nj.us/board_of_education/board_policies___regulations,,no_match,no_match,match,match,Guidance,high,"risk=0, opp=0, rest=1, guid=2, words=569, method=lexical+source_boost",9,0.11,0.071,0.144,8.91784674252718,no_ai_policy_found,No AI-specific policy found automatically from the provided link,https://www.eht.k12.nj.us/board_of_education/board_policies___regulations,Board Policies & Regulations - Egg Harbor Township School District,,0,,,1,,,,,-1.0672394722090601,-0.17391326301857032,0.29415889788501537,1.2092106170212362
1410,Estell Manor City School District,Atlantic,0.1,0,small,202.0,0.027,,,,,,,,,,,10,0.1,0.0,0.027,5.313205979041787,no_ai_policy_found,No AI-specific policy link was provided in the spreadsheet,,,,0,,,0,,,,,-1.111551997329976,-0.9059012130725308,-0.6425617760222219,-0.932164853613977
1540,Folsom Borough School District,Atlantic,0.14,0.086,small,388.0,0.125,,https://docs.google.com/file/d/1HKudBXA2uNLoUp8FyYrj3AkLeUxIYOeS/view,,,,,,,,,11,0.14,0.086,0.125,5.963579343618446,failed,HTTPError: 404 Client Error: Not Found for url: https://drive.usercontent.google.com/download?id=1HKudBXA2uNLoUp8FyYrj3AkLeUxIYOeS&export=download,,,,0,,,0,,,,,-0.9343018968463122,-0.01926792145787445,0.14204186537016497,-0.5458035873910625
