variable,category,districts_with_ai_policy,districts_without_ai_policy,all_districts
District enrollment (NCES population),Mean (SD),2480.72 (3711.17),2083.50 (3308.59),2300.67 (3536.91)
Minority enrollment share (%),Mean (SD),37.34 (21.33),32.71 (23.64),35.08 (22.57)
Below poverty share (%),Mean (SD),8.05 (8.54),9.72 (10.96),8.79 (9.70)
SNAP share (%),Mean (SD),9.59 (10.52),12.16 (14.52),10.73 (12.49)
district_size_class,small,220 (68.8%),200 (71.2%),420 (69.9%)
district_size_class,medium,86 (26.9%),54 (19.2%),140 (23.3%)
district_size_class,unknown,4 (1.2%),19 (6.8%),23 (3.8%)
district_size_class,large,10 (3.1%),8 (2.8%),18 (3.0%)
county,Bergen,46 (14.4%),31 (11.0%),77 (12.8%)
county,Monmouth,35 (10.9%),21 (7.5%),56 (9.3%)
county,Camden,23 (7.2%),20 (7.1%),43 (7.2%)
county,Burlington,17 (5.3%),24 (8.5%),41 (6.8%)
county,Morris,26 (8.1%),13 (4.6%),39 (6.5%)
county,Gloucester,14 (4.4%),16 (5.7%),30 (5.0%)
county,Ocean,21 (6.6%),7 (2.5%),28 (4.7%)
county,Hunterdon,11 (3.4%),16 (5.7%),27 (4.5%)
county,Sussex,13 (4.1%),13 (4.6%),26 (4.3%)
county,Atlantic,8 (2.5%),17 (6.0%),25 (4.2%)
county,Middlesex,19 (5.9%),5 (1.8%),24 (4.0%)
county,Warren,11 (3.4%),13 (4.6%),24 (4.0%)
county,Essex,14 (4.4%),9 (3.2%),23 (3.8%)
county,Union,13 (4.1%),10 (3.6%),23 (3.8%)
county,Passaic,13 (4.1%),7 (2.5%),20 (3.3%)
county,Somerset,8 (2.5%),11 (3.9%),19 (3.2%)
county,Cape May,4 (1.2%),15 (5.3%),19 (3.2%)
county,Cumberland,3 (0.9%),12 (4.3%),15 (2.5%)
county,Salem,5 (1.6%),10 (3.6%),15 (2.5%)
county,Hudson,6 (1.9%),6 (2.1%),12 (2.0%)
county,Mercer,8 (2.5%),3 (1.1%),11 (1.8%)
county,Unknown,1 (0.3%),1 (0.4%),2 (0.3%)
county,Middleswx,0 (0.0%),1 (0.4%),1 (0.2%)
county,"Mercer
(Agency)",1 (0.3%),0 (0.0%),1 (0.2%)
